date,site,surveyor,length_cm,width_cm,depth_m
2024-06-01,ohiat,EL,5.2,4,
2024-06-01,ohiat,EL,6.2,4.5,
2024-06-01,ohiat,EL,6.1,4.3,
2024-06-01,danger_rock,GS,8.1,6.2,
2024-06-01,danger_rock,GS,7,5.3,
2024-06-01,danger_rock,GS,8.4,6.7,
2024-06-01,danger_rock,GS,9.5,7.3,
2024-06-01,danger_rock,GS,7.8,5.5,
2024-06-01,danger_rock,GS,7.5,5.3,
2024-06-01,danger_rock,GS,9.1,6.4,
2024-06-01,danger_rock,GS,9.9,7.6,
2024-06-01,danger_rock,GS,9.3,6.8,
2024-06-01,danger_rock,GS,6.3,4.2,
2024-06-01,goby_town,EL,9.1,6.6,
2024-06-01,goby_town,EL,9.1,6.4,
2024-06-01,goby_town,EL,8,5.9,
2024-06-01,goby_town,EL,9.8,7,
2024-06-01,goby_town,EL,9.6,6.7,
2024-06-01,goby_town,EL,7.5,5.6,
2024-06-01,goby_town,EL,9.4,7.3,
2024-06-01,goby_town,EL,8.4,6.2,
2024-06-01,goby_town,EL,8,6,
2024-06-01,goby_town,EL,8,5.9,
2024-06-01,goby_town,EL,10.6,7.6,
2024-06-01,goby_town,EL,10.3,7.4,
2024-06-01,goby_town,EL,10.1,7.4,
2024-06-01,goby_town,EL,9.1,6.4,
2024-06-01,goby_town,EL,11.3,8.1,
2024-06-01,goby_town,EL,9.3,6.6,
2024-06-01,goby_town,EL,7.2,5.4,
2024-06-01,goby_town,EL,8.3,5.9,
2024-06-01,goby_town,EL,8.5,6,
2024-06-01,goby_town,EL,8.8,6.6,
2024-06-01,goby_town,EL,8.2,6.2,
2024-06-01,goby_town,EL,9.3,6.5,
2024-06-01,goby_town,EL,10,7.5,
2024-06-01,goby_town,EL,8.1,5.8,
2024-06-01,goby_town,EL,9.3,6.5,
2024-06-01,goby_town,EL,7.2,4.9,
2024-06-01,goby_town,EL,8.2,5.5,
2024-06-01,goby_town,EL,7.9,5.5,
2024-06-01,goby_town,EL,10,6.9,
2024-06-01,goby_town,EL,9.7,7,
2024-06-01,goby_town,EL,9,7.2,
2024-06-01,goby_town,EL,10.3,7.5,
2024-06-01,goby_town,EL,10.3,7.3,
2024-06-01,goby_town,EL,8.1,5.8,
2024-06-01,goby_town,SO,11,7.9,
2024-06-01,goby_town,SO,6.1,4.2,
2024-06-01,goby_town,SO,9,7,
2024-06-01,goby_town,SO,9.1,6.7,
2024-06-01,goby_town,SO,10.7,7.1,
2024-06-01,goby_town,SO,8,5.6,
2024-06-01,goby_town,SO,6.3,4.4,
2024-06-01,goby_town,SO,5.4,4.3,
2024-06-01,goby_town,SO,7.9,6,
2024-06-01,goby_town,SO,6.9,4.9,
2024-06-01,goby_town,SO,5.9,4.3,
2024-06-01,goby_town,SO,6.9,4.6,
2024-06-01,goby_town,SO,5.2,4.4,
2024-06-01,goby_town,SO,6.4,4.4,
2024-06-01,goby_town,SL,7,4.5,
2024-06-01,goby_town,SL,7,5,
2024-06-01,goby_town,SL,6.5,5.5,
2024-06-01,goby_town,SL,11,8,
2024-06-01,goby_town,SL,6.5,5,
2024-06-01,goby_town,SL,6.5,4.5,
2024-06-01,goby_town,SL,5.5,3.5,
2024-06-01,goby_town,SL,7.5,5.5,
2024-06-01,goby_town,SL,6,4.5,
2024-06-01,goby_town,SL,7.2,5,
2024-06-01,goby_town,SL,8,5,
2024-06-01,goby_town,SL,5,4,
2024-06-01,goby_town,SL,6,4.5,
2024-05-30,wizard_south,IMC,8,5.6,2.3
2024-05-30,wizard_south,IMC,8.5,5.7,3.4
2024-05-30,wizard_south,IMC,7.9,5.6,4
2024-05-30,wizard_south,IMC,8.1,5.6,4.5
2024-05-30,wizard_south,IMC,7.1,4.7,8
2024-05-30,wizard_south,IMC,4.9,3.6,8
2024-05-30,wizard_south,IMC,5.6,3.7,7.8
2024-05-30,wizard_south,IMC,7.2,5.2,7
2024-05-30,wizard_south,IMC,6.5,4.8,6.5
2024-05-30,wizard_south,IMC,7.5,5.3,4.1
2024-05-30,wizard_south,IMC,7.1,4.6,4.1
2024-05-30,wizard_south,IMC,7.2,5.4,4.6
2024-05-30,wizard_south,IMC,6.8,4.9,4.5
2024-05-30,wizard_south,IMC,6.5,4.7,4.9
2024-05-30,wizard_south,IMC,7.2,5.1,5.2
2024-05-30,wizard_south,IMC,6.3,4.5,5.3
2024-05-30,wizard_south,IMC,7.2,5.1,6.4
2024-05-30,wizard_south,IMC,7.3,5.3,7.1
2024-05-30,wizard_south,IMC,7.2,5.4,7.8
2024-05-30,wizard_south,IMC,6.3,4.7,9.2
2024-05-30,wizard_south,IMC,8.8,6.3,9.3
2024-05-30,wizard_south,IMC,5,3.7,4.4
2024-05-30,wizard_south,IMC,8.3,6.1,4.6
2024-05-30,wizard_south,IMC,7.7,5.6,4.4
2024-05-30,wizard_south,IMC,6.4,4.4,4.3
2024-05-30,wizard_south,IMC,7.6,5.3,4.3
2024-05-30,wizard_south,IMC,7.2,5.5,6
2024-05-30,wizard_south,IMC,6.7,4.7,6.9
2024-05-30,wizard_south,IMC,5.7,4.3,7.5
2024-05-30,wizard_south,IMC,9.9,6.9,4.6
2024-05-30,wizard_south,IMC,11,8.1,4.4
2024-05-30,wizard_south,IMC,6.9,5.2,4.5
2024-05-30,wizard_south,IMC,11.2,7.4,4.9
2024-05-30,wizard_south,IMC,7.4,5.5,4.3
2024-05-30,wizard_south,IMC,10.5,7.9,4
2024-05-30,wizard_south,IMC,8.6,7.2,4
2024-05-30,wizard_south,IMC,6.8,4.7,6.7
2024-05-30,wizard_south,IMC,7,5.3,6.4
2024-05-30,wizard_south,IMC,6.4,5.1,6.3
2024-05-30,wizard_south,IMC,8.3,6.2,7.5
2024-05-30,wizard_south,IMC,5.1,3.3,7.3
2024-05-30,wizard_south,IMC,8.9,6.4,7
2024-05-30,wizard_south,IMC,7,4.9,6.4
2024-05-30,wizard_south,IMC,8.6,6.3,6
2024-05-30,wizard_south,IMC,7.8,5.3,5.9
2024-05-30,wizard_south,IMC,6.6,5.3,5.9
2024-05-30,wizard_south,IMC,6.7,4.9,5.6
2024-05-30,wizard_south,IMC,7.2,5.2,5.2
2024-05-30,wizard_south,IMC,8.8,6.5,7.1
2024-05-30,wizard_south,IMC,7.3,5.6,6.1